id;numero_ot;codigo_actividad;Prioridad;frecuencia_new;dia_semana;semana_mes;mes;dia_mes;actividad;duracion;observaciones;fecha_creacion;;;
137;141;AS137;Alta;Anual;2;1;4;0;Comprobación de resistencias ;30;Electricista;2026-01-13 12:11:23;;;
138;141;AS138;Alta;Anual;1;3;9;0;Limpieza general de paneles eléctricos ;30;Electricista;2026-01-13 12:11:23;;;
139;141;AS139;Alta;Anual;6;2;12;0;Limpieza los mandos electrónicos ;30;Electricista;2026-01-13 12:11:23;;;
140;141;AS140;Alta;Anual;2;3;5;0;Revisión de motor ;30;Electricista;2026-01-13 12:11:23;;;
141;102;AS141;Alta;Semanal;5;0;0;0;Comprobación de las uniones roscadas de las piezas de cambio ;20;Operador;2026-01-13 12:11:23;;;
142;102;AS142;Alta;Diaria;0;0;0;0;Limpieza de los carriles de guía ;2;Operador;2026-01-13 12:11:23;;;
143;102;AS143;Alta;Diaria;0;0;0;0;Limpieza de residuos en toda la maquina ;2;Operador;2026-01-13 12:11:23;;;
144;102;AS144;Alta;Diaria;0;0;0;0;Limpieza del sistema de rizado ;2;Operador;2026-01-13 12:11:23;;;
145;111;AS145;Alta;Mensual;5;2;0;0;Comprobación y verificación de fajas ;20;Mecánico;2026-01-13 12:11:23;;;
146;111;AS146;Alta;Mensual;1;2;0;0;Engrase del rodamiento del disco de rizado ;20;Mecánico;2026-01-13 12:11:23;;;
147;111;AS147;Alta;Semanal;6;0;0;0;Verificación de cojines, rodillos, tensores y sprocket ;20;Mecánico;2026-01-13 12:11:23;;;
148;147;AS148;Alta;Anual;1;4;8;0;Apretar zonas de transición de corriente atornilladas ;30;Electricista;2026-01-13 12:11:23;;;
149;147;AS149;Alta;Anual;5;1;7;0;Limpieza general de paneles eléctricos ;30;Electricista;2026-01-13 12:11:23;;;
150;147;AS150;Alta;Anual;6;2;1;0;Limpieza los mandos electrónicos ;30;Electricista;2026-01-13 12:11:23;;;
151;147;AS151;Alta;Anual;5;2;1;0;Revisión de motor ;30;Electricista;2026-01-13 12:11:23;;;
152;103;AS152;Alta;Diaria;0;0;0;0;Limpieza de residuos ;5;Operador;2026-01-13 12:11:23;;;
153;113;AS153;Alta;Mensual;3;1;0;0;Comprobación y verificación de fajas ;10;Mecánico;2026-01-13 12:11:23;;;
154;113;AS154;Alta;Mensual;3;2;0;0;Comprobación y verificación de fajas de transmisión ;10;Mecánico;2026-01-13 12:11:23;;;
155;113;AS155;Alta;Mensual;2;2;0;0;Comprobar la tensión de la cinta transportadora ;10;Mecánico;2026-01-13 12:11:23;;;
156;113;AS156;Alta;Semanal;4;0;0;0;Verificación de cojines, rodillos, tensores y sprocket ;5;Mecánico;2026-01-13 12:11:23;;;
157;160;AS157;Alta;Anual;4;4;11;0;Apretar zonas de transición de corriente atornilladas ;30;Electricista;2026-01-13 12:11:23;;;
158;160;AS158;Alta;Anual;3;2;5;0;Limpieza general de paneles eléctricos ;30;Electricista;2026-01-13 12:11:23;;;
159;160;AS159;Alta;Anual;3;4;6;0;Limpieza los mandos electrónicos ;30;Electricista;2026-01-13 12:11:23;;;
160;160;AS160;Alta;Anual;5;3;6;0;Revisión de motor ;30;Electricista;2026-01-13 12:11:23;;;
161;29;AS161;Alta;Anual;6;1;5;0;Apretar zonas de transición de corriente atornilladas ;60;Electricista;2026-01-13 12:11:23;;;
162;29;AS162;Alta;Anual;1;3;8;0;Limpieza de mandos electrónicos ;60;Electricista;2026-01-13 12:11:23;;;
163;29;AS163;Alta;Anual;4;1;11;0;Limpieza general de paneles eléctricos ;60;Electricista;2026-01-13 12:11:23;;;
164;29;AS164;Alta;Anual;6;4;12;0;Revisión de bomba de lubricación e hidráulico ;80;Electricista;2026-01-13 12:11:23;;;
165;29;AS165;Alta;Anual;3;1;5;0;Revisión de motores ;80;Electricista;2026-01-13 12:11:23;;;
